siparis_id,musteri_adi,sehir,fiyat,adet,tarih,kategori
10001,ahmet yılmaz,İstanbul,3881.08,8,01-Ocak-2024 00:00:00,Ev
10002,AYŞE KAYA,Ankara,2222.45,7,01-Ocak-2024 03:00:00,Merkaz
10003,Mehmet  Demir,İzmir,4300.06,6,,Gym
10004, Fatma Şahin,Bursa,3501.97,8,01-Ocak-2024 09:00:00,Giyim
10005,ahmet yılmaz,İstanbul,516.18,2,01-Ocak-2024 12:00:00,Ev
10006,AYŞE KAYA,İstanbul,4879.33,9,01-Ocak-2024 15:00:00,Giyim
10007,Mehmet  Demir,Ankara,3817.64,8,01-Ocak-2024 18:00:00,
10008, Fatma Şahin,İzmir,3941.02,5,01-Ocak-2024 21:00:00,Ev
10009,ahmet yılmaz,Bursa,684.16,7,01-Şubat-2024 00:00:00,
10010,AYŞE KAYA,İstanbul,2279.41,5,01-Şubat-2024 03:00:00,?
10011,Mehmet  Demir,İstanbul,1885.45,3,01-Şubat-2024 06:00:00,Giyim
10012, Fatma Şahin,Ankara,4637.49,8,01-Şubat-2024 09:00:00,Giyim
10013,ahmet yılmaz,İzmir,3237.13,3,01-Şubat-2024 12:00:00,?
10014,AYŞE KAYA,Bursa,4122.67,3,01-Şubat-2024 15:00:00,Giyim
10015,Mehmet  Demir,İstanbul,2244.9,5,01-Şubat-2024 18:00:00,Giyim
10016, Fatma Şahin,İstanbul,1174.83,8,01-Şubat-2024 21:00:00,
10017,ahmet yılmaz,Ankara,2795.19,4,01-Mart-2024 00:00:00,Ev
10018,AYŞE KAYA,İzmir,365.9,5,01-Mart-2024 03:00:00,Elektronik
10019,Mehmet  Demir,Bursa,4146.77,1,01-Mart-2024 06:00:00,Ev
10020, Fatma Şahin,İstanbul,3176.74,2,01-Mart-2024 09:00:00,Ev
10021,ahmet yılmaz,İstanbul,50.0,1,01-Mart-2024 12:00:00,
10022,AYŞE KAYA,Ankara,1804.9,1,01-Mart-2024 15:00:00,?
10023,Mehmet  Demir,İzmir,4854.96,8,01-Mart-2024 18:00:00,Elk
10024, Fatma Şahin,Bursa,4470.95,8,01-Mart-2024 21:00:00,Elektronik
10025,ahmet yılmaz,İstanbul,3903.0,8,01-Nisan-2024 00:00:00,?
10026,AYŞE KAYA,İstanbul,1013.46,1,01-Nisan-2024 03:00:00,Elektronik
10027,Mehmet  Demir,Ankara,2360.27,1,01-Nisan-2024 06:00:00,Giyim
10028, Fatma Şahin,İzmir,266.83,3,01-Nisan-2024 09:00:00,Elektronik
10029,ahmet yılmaz,Bursa,813.73,6,01-Nisan-2024 12:00:00,Elektronik
10030,AYŞE KAYA,İstanbul,3431.09,4,01-Nisan-2024 15:00:00,
10031,Mehmet  Demir,İstanbul,3736.57,5,01-Nisan-2024 18:00:00,Elektronik
